"Category ID","Category","Outcome","Company Name"
"cat1","food","successful","Werner-Bryant"
"cat1","food","successful","Stewart LLC"
"cat1","food","successful","Wright, Hartman and Yu"
"cat1","food","successful","Rose-Silva"
"cat1","food","successful","Baker Ltd"
"cat1","food","successful","Perry and Sons"
"cat1","food","successful","Long-Greene"
"cat1","food","successful","Landry Inc"
"cat1","food","successful","Henson PLC"
"cat1","food","successful","Ramirez LLC"
"cat1","food","successful","Parker, Haley and Foster"
"cat1","food","successful","Gordon, Mendez and Johnson"
"cat1","food","successful","Martin, Lee and Armstrong"
"cat1","food","successful","Davis Ltd"
"cat1","food","successful","Miller, Glenn and Adams"
"cat1","food","successful","Williams and Sons"
"cat1","food","successful","Kane, Pruitt and Rivera"
"cat1","food","successful","Wright-Bryant"
"cat1","food","successful","Peterson, Gonzalez and Spencer"
"cat1","food","successful","Harris, Russell and Mitchell"
"cat1","food","successful","Gonzalez-White"
"cat1","food","successful","Manning-Hamilton"
"cat2","music","successful","Odom Inc"
"cat2","music","successful","Watts Group"
"cat2","music","successful","Vaughn, Hunt and Caldwell"
"cat2","music","successful","Casey-Kelly"
"cat2","music","successful","Gomez, Bailey and Flores"
"cat2","music","successful","Carlson Inc"
"cat2","music","successful","Keith, Alvarez and Potter"
"cat2","music","successful","Carney-Anderson"
"cat2","music","successful","Sullivan Group"
"cat2","music","successful","Fox-Quinn"
"cat2","music","successful","Hill, Martin and Garcia"
"cat2","music","successful","Rosales, Branch and Harmon"
"cat2","music","successful","Allen-Jones"
"cat2","music","successful","Chase, Garcia and Johnson"
"cat2","music","successful","Miller-Irwin"
"cat2","music","successful","Young PLC"
"cat2","music","successful","Mcgee Group"
"cat2","music","successful","Jordan-Acosta"
"cat2","music","successful","Young LLC"
"cat2","music","successful","Lawrence Group"
"cat2","music","successful","Gray-Davis"
"cat2","music","successful","Perry PLC"
"cat2","music","successful","Jones-Martin"
"cat2","music","successful","Padilla-Porter"
"cat2","music","successful","Marsh-Coleman"
"cat2","music","successful","Taylor Inc"
"cat2","music","successful","Anderson Group"
"cat2","music","successful","Johns PLC"
"cat2","music","successful","Martinez-Juarez"
"cat2","music","successful","Rowe-Wong"
"cat2","music","successful","Martinez, Garza and Young"
"cat2","music","successful","Valencia PLC"
"cat2","music","successful","Cardenas, Thompson and Carey"
"cat2","music","successful","Evans-Jones"
"cat2","music","successful","Logan-Miranda"
"cat2","music","successful","Mitchell-Lee"
"cat2","music","successful","Shaffer-Mason"
"cat2","music","successful","Vega, Chan and Carney"
"cat2","music","successful","Welch Inc"
"cat2","music","successful","English-Mccullough"
"cat2","music","successful","Watson-Douglas"
"cat2","music","successful","Valdez, Williams and Meyer"
"cat2","music","successful","Stewart and Sons"
"cat2","music","successful","Dyer Inc"
