"Contact ID","Company Name","Outcome"
"4661","Baldwin, Riley and Jackson","failed"
"4941","Mcdonald, Gonzalez and Ross","failed"
"2199","Larson-Little","failed"
"5889","Ortiz, Coleman and Mitchell","failed"
"5468","Rangel, Holt and Jones","failed"
"4904","Perez, Johnson and Gardner","failed"
"1299","Kim Ltd","failed"
"5753","Rodriguez, Rose and Stewart","failed"
"4495","Wright, Hunt and Rowe","failed"
"2307","Perez-Hess","failed"
"5695","Simmons-Reynolds","failed"
"6202","Best, Carr and Williams","failed"
"4002","Jackson PLC","failed"
"3477","Kim-Rice","failed"
"5008","Woods-Clark","failed"
"3714","Jones, Taylor and Moore","failed"
"1664","Bradshaw, Gill and Donovan","failed"
"5027","Hernandez, Rodriguez and Clark","failed"
"4248","Roy PLC","failed"
"2329","Romero-Hoffman","failed"
"3131","Baker, Morgan and Brown","failed"
"4995","Mosley-Gilbert","failed"
"5373","Sanders-Allen","failed"
"3872","Martin, Conway and Larsen","failed"
"4736","Acevedo-Huffman","failed"
"5725","Soto LLC","failed"
"6181","Fitzgerald PLC","failed"
"1673","Farrell and Sons","failed"
"4426","Kramer Group","failed"
"3211","Frazier, Patrick and Smith","failed"
"4604","Arias, Allen and Miller","failed"
"5758","Tucker, Fox and Green","failed"
"4181","Frye, Hunt and Powell","failed"
"3486","Romero and Sons","failed"
"5989","Castillo-Carey","failed"
"6026","Barrett PLC","failed"
"2212","David-Clark","failed"
"4034","Taylor PLC","failed"
"3209","Edwards-Lewis","failed"
"2031","Gross PLC","failed"
"5873","Martinez, Gomez and Dalton","failed"
"5493","Caldwell LLC","failed"
"6036","Le, Burton and Evans","failed"
"4351","Hogan Ltd","failed"
"3096","Hamilton, Wright and Chavez","failed"
"3229","Brown, Palmer and Pace","failed"
"2277","Parker LLC","failed"
"3694","Whitehead, Bell and Hughes","failed"
"2260","Rodriguez-Brown","failed"
"5374","Hall-Schaefer","failed"
"3849","Curtis-Curtis","failed"
"4323","Bruce Group","failed"
"3567","Hernandez Group","failed"
"2114","Summers, Gallegos and Stein","failed"
"5216","Blair Group","failed"
"1665","Nixon Inc","failed"
"2966","Jones, Contreras and Burnett","failed"
"4478","Stone-Orozco","failed"
"4404","Alexander-Williams","failed"
"2703","Daniels, Rose and Tyler","failed"
"5652","Rogers, Huerta and Medina","failed"
"3233","Bailey PLC","failed"
"3017","Parker Group","failed"
"2166","Walker, Jones and Rodriguez","failed"
"2651","Cook LLC","failed"
"1409","Sutton PLC","failed"
"3717","Long, Morgan and Mitchell","failed"
"3963","Calhoun, Rogers and Long","failed"
"1268","King Inc","failed"
"5066","Palmer Inc","failed"
"5075","Hull, Baker and Martinez","failed"
"3855","Becker, Rice and White","failed"
"2785","Daniel-Luna","failed"
"1850","Schultz Inc","failed"
"2604","Thompson LLC","failed"
"4149","Vargas, Banks and Palmer","failed"
"2939","Moore, Dudley and Navarro","failed"
"5362","Owens-Le","failed"
"4840","Huff LLC","failed"
"5354","Chavez, Garcia and Cantu","failed"
"3321","Lee, Ali and Guzman","failed"
"3353","Gallegos-Cobb","failed"
"4464","Mason-Sanders","failed"
"6147","Robbins and Sons","failed"
"1383","Singleton Ltd","failed"
"4390","Rogers, Jacobs and Jackson","failed"
"6084","Smith-Reid","failed"
"4087","Mason-Smith","failed"
"6217","Cole LLC","failed"
"5745","Morgan-Jenkins","failed"
"5441","Fields Ltd","failed"
"1677","Drake PLC","failed"
"4548","Lucas-Mullins","failed"
"1431","Tran LLC","failed"
"4161","Garcia Ltd","failed"
"3458","Wilson, Hall and Osborne","failed"
"5565","Ho-Harris","failed"
"4320","Smith, Jackson and Herrera","failed"
"4213","Smith-Hess","failed"
"3373","Brown, Herring and Bass","failed"
"5472","Ramsey and Sons","failed"
"5559","Cooke PLC","failed"
"4171","Ferguson, Collins and Mata","failed"
"1302","Guerrero, Flores and Jenkins","failed"
"4617","Rush, Reed and Hall","failed"
"4770","Davis Ltd","failed"
"5171","Velazquez, Hunt and Ortiz","failed"
"2215","Lopez, Adams and Johnson","failed"
"4136","Martin-Marshall","failed"
"3723","Summers PLC","failed"
"5842","Young, Hart and Ryan","failed"
"1249","Sandoval-Powell","failed"
"5409","Mills, Frazier and Perez","failed"
"3432","Cole, Smith and Wood","failed"
"6161","Saunders Group","failed"
"4603","Pham, Avila and Nash","failed"
"5818","Patterson, Salinas and Lucas","failed"
